# starting Sun Oct 26 21:53:01 2008
# memory overrun protection of 4 Bytes
# initializing new memory with 0xAA
# sweeping deleted memory with 0xEE
# aborts on OVERWRITE_MEMORY 
# thread save
# internal buffer now 32768
# finished Sun Oct 26 21:53:17 2008
# LeakReport
# from new @ |      size  # Pointer Addr
L 0xb718d751          19  # 0x81471c8
L 0xb718d751          19  # 0x81471e8
L 0xb718d751          19  # 0x8147208
L 0xb718d751          19  # 0x8147228
L 0xb718d751          22  # 0x8147248
L 0xb718d751          25  # 0x8147268
L 0xb718d751          21  # 0x8147290
L 0xb718d751          19  # 0x81472b0
L 0xb718d751          19  # 0x81472d0
L 0xb718d751          19  # 0x8147350
L 0xb718d751          19  # 0x8147370
L 0xb718d751          22  # 0x8147390
L 0xb718d751          25  # 0x81473b0
L 0xb718d751          21  # 0x81473d8
L 0xb718d751          19  # 0x81473f8
L 0xb718d751          19  # 0x8147418
L 0xb718d751          19  # 0x8147438
L 0xb718d751          19  # 0x8147458
L 0xb718d751          22  # 0x8147478
L 0xb718d751          25  # 0x8147498
L 0xb718d751          21  # 0x81474c0
L 0xb718d751          19  # 0x81474e0
L 0xb718d751          19  # 0x8147500
L 0xb718d751          19  # 0x8147520
L 0xb718d751          19  # 0x8147540
L 0xb718d751          22  # 0x8147560
L 0xb718d751          25  # 0x8147580
L 0xb718d751          21  # 0x81477b8
L 0xb718d751          19  # 0x81477d8
L 0xb718d751          19  # 0x81477f8
L 0xb718d751          19  # 0x8147818
L 0xb718d751          19  # 0x8147838
L 0xb718d751          22  # 0x8147858
L 0xb718d751          25  # 0x8147878
L 0xb718d751          21  # 0x81478a0
L 0xb718d751          19  # 0x81478c0
L 0xb718d751          19  # 0x81478e0
L 0xb718d751          19  # 0x8147900
L 0xb718d751          19  # 0x8147920
L 0xb718d751          22  # 0x8147940
L 0xb718d751          25  # 0x8147960
L 0xb718d751          21  # 0x8147988
L 0xb718d751          19  # 0x81479a8
L 0xb718d751          19  # 0x81479c8
L 0xb718d751          19  # 0x81479e8
L 0xb718d751          19  # 0x8147a08
L 0xb718d751          22  # 0x8147a28
L 0xb718d751          25  # 0x8147a48
L 0xb718d751          21  # 0x8147a70
L 0xb718d751          19  # 0x8147a90
L 0xb718d751          19  # 0x8147ab0
L 0xb718d751          19  # 0x8147ad0
L 0xb718d751          19  # 0x8147af0
L 0xb718d751          22  # 0x8147b10
L 0xb718d751          25  # 0x8147b30
L 0xb718d751          21  # 0x8147b58
L 0xb718d751          19  # 0x8147b78
L 0xb718d751          19  # 0x8147b98
L 0xb718d751          19  # 0x8147bb8
L 0xb718d751          19  # 0x8147de8
L 0xb718d751          22  # 0x8147e08
L 0xb718d751          25  # 0x8147e28
L 0xb718d751          21  # 0x8147e50
L 0xb718d751          20  # 0x8147e70
L 0xb718d751          24  # 0x8147e90
L 0xb718d751          25  # 0x8147eb0
L 0xb718d751          24  # 0x8147ed8
L 0xb718d751          25  # 0x8147ef8
L 0xb718d751          21  # 0x8147f20
L 0xb718d751          27  # 0x8147f40
L 0xb718d751          20  # 0x8147f68
L 0xb718d751          23  # 0x8147f88
L 0xb718d751          22  # 0x8147fa8
L 0xb718d751          19  # 0x8147fc8
L 0xb718d751          20  # 0x8147fe8
L 0xb718d751          20  # 0x8148008
L 0xb718d751          23  # 0x8148028
L 0xb718d751          19  # 0x8148048
L 0xb718d751          18  # 0x8148068
L 0xb718d751          24  # 0x8148088
L 0xb718d751          24  # 0x81480a8
L 0xb718d751          21  # 0x81480c8
L 0xb718d751          23  # 0x81480e8
L 0xb718d751          22  # 0x8148108
L 0xb718d751          23  # 0x8148128
L 0xb718d751          31  # 0x8148148
L 0xb718d751          23  # 0x8148170
L 0xb718d751          33  # 0x8148190
L 0xb718d751          31  # 0x81481c0
L 0xb718d751          19  # 0x81481e8
L 0xb718d751          19  # 0x8148208
L 0xb718d751          19  # 0x8148438
L 0xb718d751          19  # 0x8148458
L 0xb718d751          22  # 0x8148478
L 0xb718d751          25  # 0x8148498
L 0xb718d751          21  # 0x81484c0
L 0xb718d751          19  # 0x81484e0
L 0xb718d751          19  # 0x8148500
L 0xb718d751          19  # 0x8148520
L 0xb718d751          19  # 0x8148540
L 0xb718d751          22  # 0x8148560
L 0xb718d751          25  # 0x8148580
L 0xb718d751          21  # 0x81485a8
L 0xb718d751          25  # 0x8286438
# total allocation requests:   3641 ; max. mem used 48 kBytes
# leak   2214 Bytes	:-(
