
[0](10:01:43)======== MONITA APP STARTING ===========
[1](10:01:43)Load file konfigurasi
[2](10:01:43)Baca konfig
[3](10:01:43)Baca konfig: OK
[4](10:01:44)Mulai logging data
[5](10:01:45)[0]-- TIME:20081026-100145

[6](10:01:46)[1]-- TIME:20081026-100146

[7](10:01:47)[2]-- TIME:20081026-100147

[8](10:01:48)[3]-- TIME:20081026-100148

[9](10:01:48)192.168.1.31: Timeout
[10](10:01:48)192.168.1.32: Timeout
[11](10:01:49)[0]-- TIME:20081026-100149

[12](10:01:50)[1]-- TIME:20081026-100150

[13](10:01:51)[2]-- TIME:20081026-100151

[14](10:01:52)[3]-- TIME:20081026-100152

[15](10:01:52)192.168.1.31: Timeout
[16](10:01:52)192.168.1.32: Timeout
[17](10:01:53)[0]-- TIME:20081026-100153

[18](10:01:54)[1]-- TIME:20081026-100154

[19](10:01:55)[2]-- TIME:20081026-100155

[20](10:01:56)[3]-- TIME:20081026-100156

[21](10:01:56)192.168.1.31: Timeout
[22](10:01:56)192.168.1.32: Timeout
[23](10:01:57)[0]-- TIME:20081026-100157

[24](10:01:58)[1]-- TIME:20081026-100158

[25](10:01:59)[2]-- TIME:20081026-100159

[26](10:02:00)[3]-- TIME:20081026-100200

[27](10:02:00)192.168.1.31: Timeout
[28](10:02:00)192.168.1.32: Timeout
[29](10:02:01)[0]-- TIME:20081026-100201

[30](10:02:02)[1]-- TIME:20081026-100202

[31](10:02:03)[2]-- TIME:20081026-100203

[32](10:02:04)[3]-- TIME:20081026-100204

[33](10:02:04)192.168.1.31: Timeout
[34](10:02:04)192.168.1.32: Timeout
[35](10:02:05)[0]-- TIME:20081026-100205

[36](10:02:06)[1]-- TIME:20081026-100206

[37](10:02:07)[2]-- TIME:20081026-100207

[38](10:02:08)[3]-- TIME:20081026-100208

[39](10:02:08)192.168.1.31: Timeout
[40](10:02:08)192.168.1.32: Timeout
[41](10:02:09)[0]-- TIME:20081026-100209

[42](10:02:10)[1]-- TIME:20081026-100210

[43](10:02:11)[2]-- TIME:20081026-100211

[44](10:02:12)[3]-- TIME:20081026-100212

[45](10:02:12)192.168.1.31: Timeout
[46](10:02:12)192.168.1.32: Timeout
