
[0](14:59:21)======== MONITA APP STARTING ===========
[1](14:59:21)Load file konfigurasi
[2](14:59:21)Baca konfig
[3](14:59:21)Baca konfig: OK
[4](14:59:24)Mulai logging data
[5](14:59:26)[0]-- TIME:20081117-145926

[6](14:59:27)[1]-- TIME:20081117-145927

[7](14:59:28)[2]-- TIME:20081117-145928

[8](14:59:29)[3]-- TIME:20081117-145929

[9](14:59:37)[0]-- TIME:20081117-145937

[10](14:59:38)[1]-- TIME:20081117-145938

[11](14:59:39)[2]-- TIME:20081117-145939

[12](14:59:40)[3]-- TIME:20081117-145940

[13](14:59:41)[0]-- TIME:20081117-145941

[14](14:59:42)[1]-- TIME:20081117-145942

[15](14:59:43)[2]-- TIME:20081117-145943

[16](14:59:44)[3]-- TIME:20081117-145944

[17](14:59:45)[0]-- TIME:20081117-145945

[18](14:59:46)[1]-- TIME:20081117-145946

[19](14:59:47)[2]-- TIME:20081117-145947

[20](14:59:48)[3]-- TIME:20081117-145948

[21](14:59:49)[0]-- TIME:20081117-145949

[22](14:59:50)[1]-- TIME:20081117-145950

[23](14:59:51)[2]-- TIME:20081117-145951

[24](14:59:52)[3]-- TIME:20081117-145952

[25](14:59:53)[0]-- TIME:20081117-145953

[26](14:59:56)[1]-- TIME:20081117-145956

[27](14:59:57)[2]-- TIME:20081117-145957

[28](14:59:58)[3]-- TIME:20081117-145958

[29](14:59:59)[0]-- TIME:20081117-145959

[30](15:00:03)[1]-- TIME:20081117-150003

[31](15:00:04)[2]-- TIME:20081117-150004

[32](15:00:05)[3]-- TIME:20081117-150005

[33](15:00:06)[0]-- TIME:20081117-150006

[34](15:00:07)[1]-- TIME:20081117-150007

[35](15:00:08)[2]-- TIME:20081117-150008

[36](15:00:09)[3]-- TIME:20081117-150009

[37](15:00:10)[0]-- TIME:20081117-150010

[38](15:00:11)[1]-- TIME:20081117-150011

[39](15:00:12)[2]-- TIME:20081117-150012

[40](15:00:15)[3]-- TIME:20081117-150015

[41](15:00:16)[0]-- TIME:20081117-150016

[42](15:00:19)[1]-- TIME:20081117-150019

[43](15:00:20)[2]-- TIME:20081117-150020

[44](15:00:21)[3]-- TIME:20081117-150021

[45](15:00:22)[0]-- TIME:20081117-150022

[46](15:00:26)[1]-- TIME:20081117-150026

[47](15:00:27)[2]-- TIME:20081117-150027

[48](15:00:28)[3]-- TIME:20081117-150028

[49](15:00:29)[0]-- TIME:20081117-150029

[50](15:00:30)[1]-- TIME:20081117-150030

[51](15:00:31)[2]-- TIME:20081117-150031

[52](15:00:32)[3]-- TIME:20081117-150032

[53](15:00:33)[0]-- TIME:20081117-150033

[54](15:00:34)[1]-- TIME:20081117-150034

[55](15:00:35)[2]-- TIME:20081117-150035

[56](15:00:36)[3]-- TIME:20081117-150036

[57](15:00:37)[0]-- TIME:20081117-150037

[58](15:00:38)[1]-- TIME:20081117-150038

[59](15:00:39)[2]-- TIME:20081117-150039

[60](15:00:40)[3]-- TIME:20081117-150040

[61](15:00:41)[0]-- TIME:20081117-150041

[62](15:00:42)[1]-- TIME:20081117-150042

[63](15:00:43)[2]-- TIME:20081117-150043

[64](15:00:46)[3]-- TIME:20081117-150046

[65](15:00:50)[0]-- TIME:20081117-150050

[66](15:00:51)[1]-- TIME:20081117-150051

[67](15:00:52)[2]-- TIME:20081117-150052

[68](15:00:53)[3]-- TIME:20081117-150053

[69](15:00:54)[0]-- TIME:20081117-150054

[70](15:00:55)[1]-- TIME:20081117-150055

[71](15:00:56)[2]-- TIME:20081117-150056

[72](15:00:57)[3]-- TIME:20081117-150057

[73](15:00:58)[0]-- TIME:20081117-150058

[74](15:01:02)[1]-- TIME:20081117-150102

[75](15:01:03)[2]-- TIME:20081117-150103

[76](15:01:04)[3]-- TIME:20081117-150104

[77](15:01:05)[0]-- TIME:20081117-150105

[78](15:01:06)[1]-- TIME:20081117-150106

[79](15:01:07)[2]-- TIME:20081117-150107

[80](15:01:08)[3]-- TIME:20081117-150108

[81](15:01:09)[0]-- TIME:20081117-150109

[82](15:01:10)[1]-- TIME:20081117-150110

[83](15:01:14)[2]-- TIME:20081117-150114

[84](15:01:15)[3]-- TIME:20081117-150115

[85](15:01:18)[0]-- TIME:20081117-150118

[86](15:01:19)[1]-- TIME:20081117-150119

[87](15:01:20)[2]-- TIME:20081117-150120

[88](15:01:21)[3]-- TIME:20081117-150121

[89](15:01:22)[0]-- TIME:20081117-150122

[90](15:01:23)[1]-- TIME:20081117-150123

[91](15:01:24)[2]-- TIME:20081117-150124

[92](15:01:25)[3]-- TIME:20081117-150125

[93](15:01:26)[0]-- TIME:20081117-150126

[94](15:01:27)[1]-- TIME:20081117-150127

[95](15:01:28)[2]-- TIME:20081117-150128

[96](15:01:29)[3]-- TIME:20081117-150129

[97](15:01:30)[0]-- TIME:20081117-150130

[98](15:01:31)[1]-- TIME:20081117-150131

[99](15:01:32)[2]-- TIME:20081117-150132

[100](15:01:33)[3]-- TIME:20081117-150133

[101](15:01:34)[0]-- TIME:20081117-150134

[102](15:01:35)[1]-- TIME:20081117-150135

[103](15:01:36)[2]-- TIME:20081117-150136

[104](15:01:37)[3]-- TIME:20081117-150137

[105](15:01:38)[0]-- TIME:20081117-150138

[106](15:01:39)[1]-- TIME:20081117-150139

[107](15:01:40)[2]-- TIME:20081117-150140

[108](15:01:41)[3]-- TIME:20081117-150141

[109](15:01:42)[0]-- TIME:20081117-150142

[110](15:01:43)[1]-- TIME:20081117-150143

[111](15:01:44)[2]-- TIME:20081117-150144

[112](15:01:45)[3]-- TIME:20081117-150145

[113](15:01:46)[0]-- TIME:20081117-150146

[114](15:01:47)[1]-- TIME:20081117-150147

[115](15:01:48)[2]-- TIME:20081117-150148

[116](15:01:49)[3]-- TIME:20081117-150149

[117](15:01:50)[0]-- TIME:20081117-150150

[118](15:01:51)[1]-- TIME:20081117-150151

[119](15:01:52)[2]-- TIME:20081117-150152

[120](15:01:53)[3]-- TIME:20081117-150153

[121](15:01:54)[0]-- TIME:20081117-150154

[122](15:01:55)[1]-- TIME:20081117-150155

[123](15:01:56)[2]-- TIME:20081117-150156

[124](15:01:57)[3]-- TIME:20081117-150157

[125](15:01:58)[0]-- TIME:20081117-150158

[126](15:01:59)[1]-- TIME:20081117-150159

[127](15:02:00)[2]-- TIME:20081117-150200

[128](15:02:01)[3]-- TIME:20081117-150201

[129](15:02:02)[0]-- TIME:20081117-150202

[130](15:02:03)[1]-- TIME:20081117-150203

[131](15:02:04)[2]-- TIME:20081117-150204

[132](15:02:05)[3]-- TIME:20081117-150205

[133](15:02:06)[0]-- TIME:20081117-150206

[134](15:02:07)[1]-- TIME:20081117-150207

[135](15:02:08)[2]-- TIME:20081117-150208

[136](15:02:09)[3]-- TIME:20081117-150209

[137](15:02:10)[0]-- TIME:20081117-150210

[138](15:02:11)[1]-- TIME:20081117-150211

[139](15:02:12)[2]-- TIME:20081117-150212

[140](15:02:13)[3]-- TIME:20081117-150213

[141](15:02:14)[0]-- TIME:20081117-150214

[142](15:02:15)[1]-- TIME:20081117-150215

[143](15:02:16)[2]-- TIME:20081117-150216

[144](15:02:17)[3]-- TIME:20081117-150217

[145](15:02:18)[0]-- TIME:20081117-150218

[146](15:02:19)[1]-- TIME:20081117-150219

[147](15:02:20)[2]-- TIME:20081117-150220

[148](15:02:21)[3]-- TIME:20081117-150221

[149](15:02:22)[0]-- TIME:20081117-150222

[150](15:02:23)[1]-- TIME:20081117-150223

[151](15:02:24)[2]-- TIME:20081117-150224

[152](15:02:25)[3]-- TIME:20081117-150225

[153](15:02:26)[0]-- TIME:20081117-150226

[154](15:02:27)[1]-- TIME:20081117-150227

[155](15:02:28)[2]-- TIME:20081117-150228

[156](15:02:29)[3]-- TIME:20081117-150229

[157](15:02:30)[0]-- TIME:20081117-150230

[158](15:02:31)[1]-- TIME:20081117-150231

[159](15:02:32)[2]-- TIME:20081117-150232

[160](15:02:33)[3]-- TIME:20081117-150233

[161](15:02:34)[0]-- TIME:20081117-150234

[162](15:02:35)[1]-- TIME:20081117-150235

[163](15:02:36)[2]-- TIME:20081117-150236

[164](15:02:37)[3]-- TIME:20081117-150237

[165](15:02:38)[0]-- TIME:20081117-150238

[166](15:02:39)[1]-- TIME:20081117-150239

[167](15:02:40)[2]-- TIME:20081117-150240

[168](15:02:41)[3]-- TIME:20081117-150241

[169](15:02:42)[0]-- TIME:20081117-150242

[170](15:02:43)[1]-- TIME:20081117-150243

[171](15:02:44)[2]-- TIME:20081117-150244

[172](15:02:45)[3]-- TIME:20081117-150245

[173](15:02:46)[0]-- TIME:20081117-150246

[174](15:02:47)[1]-- TIME:20081117-150247

[175](15:02:48)[2]-- TIME:20081117-150248

[176](15:02:49)[3]-- TIME:20081117-150249

[177](15:02:50)[0]-- TIME:20081117-150250

[178](15:02:51)[1]-- TIME:20081117-150251

[179](15:02:52)[2]-- TIME:20081117-150252

[180](15:02:53)[3]-- TIME:20081117-150253

[181](15:02:54)[0]-- TIME:20081117-150254

[182](15:02:55)[1]-- TIME:20081117-150255

[183](15:02:56)[2]-- TIME:20081117-150256

[184](15:02:57)[3]-- TIME:20081117-150257

[185](15:02:58)[0]-- TIME:20081117-150258

[186](15:02:59)[1]-- TIME:20081117-150259

[187](15:03:00)[2]-- TIME:20081117-150300

[188](15:03:01)[3]-- TIME:20081117-150301

[189](15:03:02)[0]-- TIME:20081117-150302

[190](15:03:03)[1]-- TIME:20081117-150303

[191](15:03:04)[2]-- TIME:20081117-150304

[192](15:03:05)[3]-- TIME:20081117-150305

[193](15:03:06)[0]-- TIME:20081117-150306

[194](15:03:07)[1]-- TIME:20081117-150307

[195](15:03:08)[2]-- TIME:20081117-150308

[196](15:03:09)[3]-- TIME:20081117-150309

[197](15:03:10)[0]-- TIME:20081117-150310

[198](15:03:11)[1]-- TIME:20081117-150311

[199](15:03:12)[2]-- TIME:20081117-150312

[200](15:03:13)[3]-- TIME:20081117-150313

[201](15:03:14)[0]-- TIME:20081117-150314

[202](15:03:15)[1]-- TIME:20081117-150315

[203](15:03:16)[2]-- TIME:20081117-150316

[204](15:03:17)[3]-- TIME:20081117-150317

[205](15:03:18)[0]-- TIME:20081117-150318

[206](15:03:19)[1]-- TIME:20081117-150319

[207](15:03:20)[2]-- TIME:20081117-150320

[208](15:03:21)[3]-- TIME:20081117-150321

[209](15:03:22)[0]-- TIME:20081117-150322

[210](15:03:23)Stop logging data
[211](15:03:23)[2]-- TIME:20081117-150323

[212](17:44:51)======== MONITA APP CLOSING =========
[213](17:44:51)============ BYE BYE ===============
