
[0](01:07:39)ALARM: Data Titik 1 (KWH) diluar jangkauan ukur
[1](01:07:39)ALARM: Data Titik 2 (KVARH) diluar jangkauan ukur
[2](01:07:40)[0]-- TIME:20090306-010740

[3](01:07:41)[1]-- TIME:20090306-010741

[4](01:07:42)[2]-- TIME:20090306-010742

[5](01:07:43)[3]-- TIME:20090306-010743

[6](01:07:43)ALARM: Data Titik 1 (KWH) diluar jangkauan ukur
[7](01:07:43)ALARM: Data Titik 2 (KVARH) diluar jangkauan ukur
[8](01:07:44)[0]-- TIME:20090306-010744

[9](01:07:45)[1]-- TIME:20090306-010745

[10](01:07:46)[2]-- TIME:20090306-010746

[11](01:07:47)[3]-- TIME:20090306-010747

[12](01:07:47)ALARM: Data Titik 1 (KWH) diluar jangkauan ukur
[13](01:07:47)ALARM: Data Titik 2 (KVARH) diluar jangkauan ukur
[14](01:07:48)[0]-- TIME:20090306-010748

[15](01:07:49)[1]-- TIME:20090306-010749

[16](01:07:50)[2]-- TIME:20090306-010750

[17](01:07:51)[3]-- TIME:20090306-010751

[18](01:07:51)ALARM: Data Titik 1 (KWH) diluar jangkauan ukur
[19](01:07:51)ALARM: Data Titik 2 (KVARH) diluar jangkauan ukur
[20](01:07:52)[0]-- TIME:20090306-010752

[21](01:07:53)[1]-- TIME:20090306-010753

[22](01:07:54)[2]-- TIME:20090306-010754

[23](01:07:55)[3]-- TIME:20090306-010755

[24](01:07:55)ALARM: Data Titik 1 (KWH) diluar jangkauan ukur
[25](01:07:55)ALARM: Data Titik 2 (KVARH) diluar jangkauan ukur
[26](01:07:56)[0]-- TIME:20090306-010756

[27](01:07:57)[1]-- TIME:20090306-010757

[28](01:07:58)[2]-- TIME:20090306-010758

[29](01:07:59)[3]-- TIME:20090306-010759

[30](01:07:59)10.23.128.24: Timeout
[31](01:08:00)[0]-- TIME:20090306-010800

[32](01:08:01)[1]-- TIME:20090306-010801

[33](01:08:02)[2]-- TIME:20090306-010802

[34](01:08:03)[3]-- TIME:20090306-010803

[35](01:08:03)10.23.128.24: Timeout
[36](01:08:04)[0]-- TIME:20090306-010804

[37](01:08:05)[1]-- TIME:20090306-010805

[38](01:08:06)[2]-- TIME:20090306-010806

[39](01:08:07)[3]-- TIME:20090306-010807

[40](01:08:07)10.23.128.24: Timeout
[41](01:08:08)[0]-- TIME:20090306-010808

[42](01:08:09)[1]-- TIME:20090306-010809

[43](01:08:10)[2]-- TIME:20090306-010810

[44](01:08:11)[3]-- TIME:20090306-010811

[45](01:08:11)10.23.128.24: Timeout
[46](01:08:12)[0]-- TIME:20090306-010812

[47](01:08:13)[1]-- TIME:20090306-010813

[48](01:08:14)[2]-- TIME:20090306-010814

[49](01:08:15)[3]-- TIME:20090306-010815

[50](01:08:15)10.23.128.24: Timeout
[51](01:08:16)[0]-- TIME:20090306-010816

[52](01:08:17)[1]-- TIME:20090306-010817

[53](01:08:18)[2]-- TIME:20090306-010818

[54](01:08:19)[3]-- TIME:20090306-010819

[55](01:08:19)10.23.128.24: Timeout
[56](01:08:20)[0]-- TIME:20090306-010820

[57](01:08:21)[1]-- TIME:20090306-010821

[58](01:08:22)[2]-- TIME:20090306-010822

[59](01:08:23)[3]-- TIME:20090306-010823

[60](01:08:23)10.23.128.24: Timeout
[61](01:08:24)[0]-- TIME:20090306-010824

[62](01:08:25)[1]-- TIME:20090306-010825

[63](01:08:26)[2]-- TIME:20090306-010826

[64](01:08:27)[3]-- TIME:20090306-010827

[65](01:08:27)10.23.128.24: Timeout
[66](01:08:28)[0]-- TIME:20090306-010828

[67](01:08:29)[1]-- TIME:20090306-010829

[68](01:08:30)[2]-- TIME:20090306-010830

[69](01:08:31)[3]-- TIME:20090306-010831

[70](01:08:31)10.23.128.24: Timeout
[71](01:08:32)[0]-- TIME:20090306-010832

[72](01:08:33)[1]-- TIME:20090306-010833

[73](01:08:34)[2]-- TIME:20090306-010834

[74](01:08:35)[3]-- TIME:20090306-010835

[75](01:08:35)10.23.128.24: Timeout
[76](01:08:36)[0]-- TIME:20090306-010836

[77](01:08:37)[1]-- TIME:20090306-010837

[78](01:08:38)[2]-- TIME:20090306-010838

[79](01:08:39)[3]-- TIME:20090306-010839

[80](01:08:39)10.23.128.24: Timeout
[81](01:08:40)[0]-- TIME:20090306-010840

[82](01:08:41)[1]-- TIME:20090306-010841

[83](01:08:42)[2]-- TIME:20090306-010842

[84](01:08:43)[3]-- TIME:20090306-010843

[85](01:08:43)10.23.128.24: Timeout
[86](01:08:44)[0]-- TIME:20090306-010844

[87](01:08:45)[1]-- TIME:20090306-010845

[88](01:08:46)[2]-- TIME:20090306-010846

[89](01:08:47)[3]-- TIME:20090306-010847

[90](01:08:47)10.23.128.24: Timeout
[91](01:08:48)[0]-- TIME:20090306-010848

[92](01:08:49)[1]-- TIME:20090306-010849

[93](01:08:50)[2]-- TIME:20090306-010850

[94](01:08:51)[3]-- TIME:20090306-010851

[95](01:08:51)10.23.128.24: Timeout
[96](01:08:52)[0]-- TIME:20090306-010852

[97](01:08:53)[1]-- TIME:20090306-010853

[98](01:08:54)[2]-- TIME:20090306-010854

[99](01:08:55)[3]-- TIME:20090306-010855

[100](01:08:55)10.23.128.24: Timeout
[101](01:08:56)[0]-- TIME:20090306-010856

[102](01:08:57)[1]-- TIME:20090306-010857

[103](01:08:58)[2]-- TIME:20090306-010858

[104](01:08:59)[3]-- TIME:20090306-010859

[105](01:08:59)10.23.128.24: Timeout
[106](01:09:00)[0]-- TIME:20090306-010900

[107](01:09:01)[1]-- TIME:20090306-010901

[108](01:09:02)[2]-- TIME:20090306-010902

[109](01:09:03)[3]-- TIME:20090306-010903

[110](01:09:03)10.23.128.24: Timeout
[111](01:09:04)[0]-- TIME:20090306-010904

[112](01:09:05)[1]-- TIME:20090306-010905

[113](01:09:06)[2]-- TIME:20090306-010906

[114](01:09:07)[3]-- TIME:20090306-010907

[115](01:09:07)10.23.128.24: Timeout
[116](01:09:08)[0]-- TIME:20090306-010908

[117](01:09:09)[1]-- TIME:20090306-010909

[118](01:09:10)[2]-- TIME:20090306-010910

[119](01:09:11)[3]-- TIME:20090306-010911

[120](01:09:11)10.23.128.24: Timeout
[121](01:09:12)[0]-- TIME:20090306-010912

[122](01:09:13)[1]-- TIME:20090306-010913

[123](01:09:14)[2]-- TIME:20090306-010914

[124](01:09:15)[3]-- TIME:20090306-010915

[125](01:09:15)10.23.128.24: Timeout
[126](01:09:16)[0]-- TIME:20090306-010916

[127](01:09:17)[1]-- TIME:20090306-010917

[128](01:09:18)[2]-- TIME:20090306-010918

[129](01:09:19)[3]-- TIME:20090306-010919

[130](01:09:19)10.23.128.24: Timeout
[131](01:09:20)[0]-- TIME:20090306-010920

[132](01:09:21)[1]-- TIME:20090306-010921

[133](01:09:22)[2]-- TIME:20090306-010922

[134](01:09:23)[3]-- TIME:20090306-010923

[135](01:09:23)10.23.128.24: Timeout
[136](01:09:24)[0]-- TIME:20090306-010924

[137](01:09:25)[1]-- TIME:20090306-010925

[138](01:09:26)[2]-- TIME:20090306-010926

[139](01:09:27)[3]-- TIME:20090306-010927

[140](01:09:27)10.23.128.24: Timeout
[141](01:09:28)[0]-- TIME:20090306-010928

[142](01:09:29)[1]-- TIME:20090306-010929

[143](01:09:30)[2]-- TIME:20090306-010930

[144](01:09:31)[3]-- TIME:20090306-010931

[145](01:09:31)10.23.128.24: Timeout
[146](01:09:32)[0]-- TIME:20090306-010932

[147](01:09:33)[1]-- TIME:20090306-010933

[148](01:09:34)[2]-- TIME:20090306-010934

[149](01:09:35)[3]-- TIME:20090306-010935

[150](01:09:35)10.23.128.24: Timeout
[151](01:09:36)[0]-- TIME:20090306-010936

[152](01:09:37)[1]-- TIME:20090306-010937

[153](01:09:38)[2]-- TIME:20090306-010938

[154](01:09:39)[3]-- TIME:20090306-010939

[155](01:09:39)10.23.128.24: Timeout
[156](01:09:40)[0]-- TIME:20090306-010940

[157](01:09:41)[1]-- TIME:20090306-010941

[158](01:09:42)[2]-- TIME:20090306-010942

[159](01:09:43)[3]-- TIME:20090306-010943

[160](01:09:43)10.23.128.24: Timeout
[161](01:09:44)[0]-- TIME:20090306-010944

[162](01:09:45)[1]-- TIME:20090306-010945

[163](01:09:46)[2]-- TIME:20090306-010946

[164](01:09:47)[3]-- TIME:20090306-010947

[165](01:09:47)10.23.128.24: Timeout
[166](01:09:48)[0]-- TIME:20090306-010948

[167](01:09:49)[1]-- TIME:20090306-010949

[168](01:09:50)[2]-- TIME:20090306-010950

[169](01:09:51)[3]-- TIME:20090306-010951

[170](01:09:51)10.23.128.24: Timeout
[171](01:09:52)[0]-- TIME:20090306-010952

[172](01:09:53)[1]-- TIME:20090306-010953

[173](01:09:54)[2]-- TIME:20090306-010954

[174](01:09:55)[3]-- TIME:20090306-010955

[175](01:09:55)10.23.128.24: Timeout
[176](01:09:56)[0]-- TIME:20090306-010956

[177](01:09:57)[1]-- TIME:20090306-010957

[178](01:09:58)[2]-- TIME:20090306-010958

[179](01:09:59)[3]-- TIME:20090306-010959

[180](01:09:59)10.23.128.24: Timeout
[181](01:10:00)[0]-- TIME:20090306-011000

[182](01:10:01)[1]-- TIME:20090306-011001

[183](01:10:02)[2]-- TIME:20090306-011002

[184](01:10:03)[3]-- TIME:20090306-011003

[185](01:10:03)10.23.128.24: Timeout
[186](01:10:04)[0]-- TIME:20090306-011004

[187](01:10:05)[1]-- TIME:20090306-011005

[188](01:10:06)[2]-- TIME:20090306-011006

[189](01:10:07)[3]-- TIME:20090306-011007

[190](01:10:07)10.23.128.24: Timeout
[191](01:10:08)[0]-- TIME:20090306-011008

[192](01:10:09)[1]-- TIME:20090306-011009

[193](01:10:10)[2]-- TIME:20090306-011010

[194](01:10:11)[3]-- TIME:20090306-011011

[195](01:10:12)10.23.128.24: Timeout
[196](01:10:12)[0]-- TIME:20090306-011012

[197](01:10:13)[1]-- TIME:20090306-011013

[198](01:10:14)[2]-- TIME:20090306-011014

[199](01:10:15)[3]-- TIME:20090306-011015

[200](01:10:15)10.23.128.24: Timeout
[201](01:10:16)[0]-- TIME:20090306-011016

[202](01:10:17)[1]-- TIME:20090306-011017

[203](01:10:18)[2]-- TIME:20090306-011018

[204](01:10:19)[3]-- TIME:20090306-011019

[205](01:10:19)10.23.128.24: Timeout
[206](01:10:20)[0]-- TIME:20090306-011020

[207](01:10:21)[1]-- TIME:20090306-011021

[208](01:10:22)[2]-- TIME:20090306-011022

[209](01:10:23)[3]-- TIME:20090306-011023

[210](01:10:23)10.23.128.24: Timeout
[211](01:10:24)[0]-- TIME:20090306-011024

[212](01:10:25)[1]-- TIME:20090306-011025

[213](01:10:26)[2]-- TIME:20090306-011026

[214](01:10:27)[3]-- TIME:20090306-011027

[215](01:10:27)10.23.128.24: Timeout
[216](01:10:28)[0]-- TIME:20090306-011028

[217](01:10:29)[1]-- TIME:20090306-011029

[218](01:10:30)[2]-- TIME:20090306-011030

[219](01:10:31)[3]-- TIME:20090306-011031

[220](01:10:31)10.23.128.24: Timeout
[221](01:10:32)[0]-- TIME:20090306-011032

[222](01:10:33)[1]-- TIME:20090306-011033

[223](01:10:34)[2]-- TIME:20090306-011034

[224](01:10:35)[3]-- TIME:20090306-011035

[225](01:10:35)10.23.128.24: Timeout
[226](01:10:36)[0]-- TIME:20090306-011036

[227](01:10:37)[1]-- TIME:20090306-011037

[228](01:10:38)[2]-- TIME:20090306-011038

[229](01:10:39)[3]-- TIME:20090306-011039

[230](01:10:39)10.23.128.24: Timeout
[231](01:10:40)[0]-- TIME:20090306-011040

[232](01:10:41)[1]-- TIME:20090306-011041

[233](01:10:42)[2]-- TIME:20090306-011042

[234](01:10:43)[3]-- TIME:20090306-011043

[235](01:10:43)10.23.128.24: Timeout
[236](01:10:44)[0]-- TIME:20090306-011044

[237](01:10:45)[1]-- TIME:20090306-011045

[238](01:10:46)[2]-- TIME:20090306-011046

[239](01:10:47)[3]-- TIME:20090306-011047

[240](01:10:47)10.23.128.24: Timeout
[241](01:10:48)[0]-- TIME:20090306-011048

[242](01:10:49)[1]-- TIME:20090306-011049

[243](01:10:50)[2]-- TIME:20090306-011050

[244](01:10:51)[3]-- TIME:20090306-011051

[245](01:10:51)10.23.128.24: Timeout
[246](01:10:52)[0]-- TIME:20090306-011052

[247](01:10:53)[1]-- TIME:20090306-011053

[248](01:10:54)[2]-- TIME:20090306-011054

[249](01:10:55)[3]-- TIME:20090306-011055

[250](01:10:56)10.23.128.24: Timeout
[251](01:10:56)[0]-- TIME:20090306-011056

[252](01:10:57)[1]-- TIME:20090306-011057

[253](01:10:58)[2]-- TIME:20090306-011058

[254](01:10:59)[3]-- TIME:20090306-011059

[255](01:10:59)10.23.128.24: Timeout
[256](01:11:00)[0]-- TIME:20090306-011100

[257](01:11:01)[1]-- TIME:20090306-011101

[258](01:11:02)[2]-- TIME:20090306-011102

[259](01:11:03)[3]-- TIME:20090306-011103

[260](01:11:03)10.23.128.24: Timeout
[261](01:11:04)[0]-- TIME:20090306-011104

[262](01:11:05)[1]-- TIME:20090306-011105

[263](01:11:06)[2]-- TIME:20090306-011106

[264](01:11:07)[3]-- TIME:20090306-011107

[265](01:11:07)10.23.128.24: Timeout
[266](01:11:08)[0]-- TIME:20090306-011108

[267](01:11:09)[1]-- TIME:20090306-011109

[268](01:11:10)[2]-- TIME:20090306-011110

